fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,descripcion_conducta,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane,
2010-02-17,valle,cali (ct),miercoles,23:55:00,los lideres e21,urbana,casas de habitacion,articulo 205. acceso carnal violento,arma blanca,a pie,a pie,29,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-02-18,valle,cali (ct),jueves,00:00:00,urb. colseguros e19,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,65,femenino,casado,colombia,pensionado,no reportado,secundaria,76001000,1.0
2010-02-18,valle,cali (ct),jueves,07:00:00,comfenalco e6,urbana,dentro de la vivienda,articulo 206. acto sexual violento,contundentes,a pie,a pie,49,femenino,casado,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-02-18,valle,cali (ct),jueves,15:00:00,omar torrijos e13,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,28,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-18,valle,cali (ct),jueves,17:00:00,potrero grande e21,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,28,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-02-19,valle,cali (ct),viernes,18:30:00,la nueva base e8,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,8,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-19,valle,cali (ct),viernes,19:00:00,ciudadela floralia e6,urbana,instalaciones de la policia,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,8,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-19,valle,cali (ct),viernes,20:45:00,calimio desepaz e21,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,7,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-20,valle,cali (ct),sabado,03:00:00,centenario e2,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,16,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-20,valle,cali (ct),sabado,19:05:00,versalles e2,urbana,vias publicas,articulo 206. acto sexual violento,arma blanca,a pie,a pie,23,femenino,union libre,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-21,valle,cali (ct),domingo,19:30:00,urb. rio lili e22,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,9,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-22,valle,cali (ct),lunes,04:30:00,marroquin i e14,urbana,vias publicas,articulo 205. acceso carnal violento,arma blanca,bicicleta,a pie,24,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-02-23,valle,cali (ct),martes,02:00:00,batallon pichinchae18,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,24,femenino,union libre,colombia,independiente,no reportado,primaria,76001000,1.0
2010-02-23,valle,cali (ct),martes,18:45:00,villa blanca e13,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,a pie,a pie,2,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-02-24,valle,cali (ct),miercoles,14:00:00,tejares de salomia e6,urbana,,articulo 206. acto sexual violento,no reportado,a pie,a pie,9,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,2.0
2010-02-25,valle,cali (ct),jueves,11:45:00,san vicente e2,urbana,terminal de transportes,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-25,valle,cali (ct),jueves,15:00:00,el retiro e15,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-26,valle,cali (ct),viernes,00:00:00,sin especificar,urbana,vias publicas,articulo 208. acceso carnal abusivo con menor de 14 anos,sin empleo de armas,a pie,a pie,no reportado,masculino,soltero,no reportado,empleado particular,no reportado,primaria,76001000,1.0
