fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-08-15,valle,cali (ct),articulo 205. acceso carnal violento,sabado,18:00:00,obrero e9,urbana,"hoteles, residencias, y similares.",contundentes,a pie,a pie,27,femenino,soltero,colombia,independiente,,secundaria,76001000
2015-08-15,valle,cali (ct),articulo 205. acceso carnal violento,sabado,02:30:00,ciudadela floralia e6,urbana,dentro de la vivienda,,a pie,a pie,39,femenino,union libre,colombia,ama de casa,,primaria,76001000
2015-08-15,valle,cali (ct),articulo 206. acto sexual violento,sabado,07:50:00,alfonso lopez i e7,urbana,dentro de la vivienda,contundentes,a pie,a pie,18,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-15,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,sabado,12:00:00,cgto saladito e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,7,femenino,soltero,,empleado particular,,primaria,76001000
2015-08-16,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,domingo,19:00:00,angel del hogar e7,urbana,,contundentes,a pie,a pie,13,masculino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-16,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,domingo,04:00:00,cgto montebello e1,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,6,femenino,soltero,colombia,desempleado,,primaria,76001000
2015-08-16,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,domingo,20:30:00,desepaz invicali e21,urbana,vias publicas,sin empleo de armas,a pie,a pie,6,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-17,valle,cali (ct),articulo 210 a. acoso sexual,lunes,10:30:00,atanasio girardot e8,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-18,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,21:40:00,calypso e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,6,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-19,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,00:00:00,las delicias e4,urbana,vias publicas,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,primaria,76001000
