fecha,departamento,municipio,dia,hora,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2012-02-01,valle,cali (ct),miercoles,17:30:00,urbana,parqueadero,no reportado,vehiculo,a pie,37,masculino,casado,colombia,independiente,abogado,superior,76001000
2012-02-01,valle,cali (ct),miercoles,18:00:00,urbana,vias publicas,no reportado,a pie,a pie,24,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-02-01,valle,cali (ct),miercoles,18:00:00,urbana,vias publicas,no reportado,a pie,a pie,24,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-02-02,valle,cali (ct),jueves,00:00:00,urbana,vias publicas,no reportado,a pie,a pie,23,femenino,soltero,no reportado,independiente,no reportado,tecnico,76001000
2012-02-02,valle,cali (ct),jueves,10:00:00,urbana,casas de habitacion,arma de fuego,conductor taxi,a pie,61,masculino,casado,colombia,pensionado,no reportado,secundaria,76001000
2012-02-02,valle,cali (ct),jueves,14:00:00,urbana,vias publicas,no reportado,a pie,a pie,55,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-02-02,valle,cali (ct),jueves,16:30:00,urbana,vias publicas,no reportado,a pie,a pie,39,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-02-02,valle,cali (ct),jueves,17:42:00,urbana,vias publicas,no reportado,a pie,a pie,53,femenino,divorciado,colombia,independiente,no reportado,tecnico,76001000
2012-02-02,valle,cali (ct),jueves,18:00:00,urbana,vias publicas,no reportado,a pie,a pie,31,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-02-03,valle,cali (ct),viernes,08:00:00,urbana,centro comercial,contundentes,a pie,a pie,36,masculino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2012-02-03,valle,cali (ct),viernes,09:00:00,urbana,dentro de la vivienda,contundentes,a pie,a pie,47,femenino,soltero,colombia,empleado particular,no reportado,tecnico,76001000
2012-02-03,valle,cali (ct),viernes,09:00:00,urbana,vias publicas,no reportado,a pie,a pie,35,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-02-03,valle,cali (ct),viernes,10:00:00,urbana,vias publicas,no reportado,a pie,a pie,46,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000
2012-02-03,valle,cali (ct),viernes,16:30:00,urbana,vias publicas,no reportado,a pie,a pie,52,masculino,casado,colombia,independiente,no reportado,superior,76001000
2012-02-03,valle,cali (ct),viernes,18:00:00,urbana,vias publicas,no reportado,a pie,a pie,21,femenino,union libre,colombia,independiente,no reportado,superior,76001000
2012-02-04,valle,cali (ct),sabado,09:00:00,urbana,vias publicas,no reportado,a pie,a pie,32,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2012-02-04,valle,cali (ct),sabado,10:47:00,urbana,casas de habitacion,no reportado,a pie,a pie,21,masculino,soltero,colombia,empleado particular,no reportado,superior,76001000
2012-02-04,valle,cali (ct),sabado,18:45:00,urbana,vias publicas,no reportado,a pie,a pie,49,masculino,soltero,no reportado,independiente,no reportado,tecnico,76001000
2012-02-05,valle,cali (ct),domingo,09:30:00,urbana,vias publicas,no reportado,a pie,a pie,34,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-02-05,valle,cali (ct),domingo,12:30:00,urbana,dentro de la vivienda,no reportado,a pie,a pie,57,femenino,casado,colombia,independiente,no reportado,superior,76001000
2012-02-05,valle,cali (ct),domingo,16:00:00,urbana,vias publicas,no reportado,a pie,a pie,29,masculino,casado,colombia,independiente,no reportado,superior,76001000
2012-02-06,valle,cali (ct),lunes,12:30:00,urbana,casas de habitacion,arma de fuego,a pie,a pie,28,femenino,union libre,colombia,desempleado,no reportado,primaria,76001000
2012-02-06,valle,cali (ct),lunes,14:30:00,urbana,vias publicas,no reportado,a pie,a pie,52,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-02-06,valle,cali (ct),lunes,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,18,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000
2012-02-06,valle,cali (ct),lunes,19:45:00,urbana,vias publicas,no reportado,a pie,a pie,29,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
