fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2015-06-16,valle,cali (ct),martes,15:00:00,san pedro e3,urbana,vias publicas,contundentes,a pie,a pie,76001000
2015-06-16,valle,cali (ct),martes,20:30:00,unicentro cali e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-16,valle,cali (ct),martes,14:20:00,los cambulos e19,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-06-16,valle,cali (ct),martes,18:50:00,el sena e5,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-16,valle,cali (ct),martes,12:05:00,el sena e5,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-17,valle,cali (ct),miercoles,06:00:00,cgto navarro e21,rural,fincas y similares,contundentes,a pie,a pie,76001000
2015-06-18,valle,cali (ct),jueves,11:00:00,san carlos e11,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-06-18,valle,cali (ct),jueves,19:00:00,melendez e18,urbana,"colegios, escuelas",arma de fuego,a pie,a pie,76001000
2015-06-19,valle,cali (ct),viernes,18:45:00,el guabal e10,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,76001000
2015-06-21,valle,cali (ct),domingo,14:00:00,fepicol e7,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-06-21,valle,cali (ct),domingo,20:00:00,bretana e9,urbana,bodegas y similares,contundentes,a pie,a pie,76001000
2015-06-21,valle,cali (ct),domingo,03:00:00,san luis e6,urbana,vias publicas,contundentes,conductor vehiculo,a pie,76001000
2015-06-21,valle,cali (ct),domingo,18:30:00,popular e4,urbana,estaciones de servicio,arma de fuego,conductor motocicleta,a pie,76001000
2015-06-21,valle,cali (ct),domingo,14:30:00,belisario caicedo e20,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,76001000
2015-06-21,valle,cali (ct),domingo,13:20:00,ciudad capri e17,urbana,supermercados,arma de fuego,a pie,a pie,76001000
2015-06-22,valle,cali (ct),lunes,00:00:00,san pedro e3,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2015-06-22,valle,cali (ct),lunes,11:00:00,san pedro e3,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-06-22,valle,cali (ct),lunes,13:30:00,lili e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-22,valle,cali (ct),lunes,18:30:00,san joaquin e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-22,valle,cali (ct),lunes,08:30:00,terron colorado e1,urbana,empresa,sin empleo de armas,a pie,a pie,76001000
2015-06-22,valle,cali (ct),lunes,19:20:00,urb. santa elena e18,urbana,construccion,arma de fuego,conductor vehiculo,a pie,76001000
2015-06-22,valle,cali (ct),lunes,09:12:00,granada e2,urbana,estaciones de servicio,sin empleo de armas,a pie,a pie,76001000
2015-06-23,valle,cali (ct),martes,00:00:00,siloe e20,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,76001000
2015-06-23,valle,cali (ct),martes,09:00:00,champagnat e19,urbana,bomba de gasolina,sin empleo de armas,a pie,a pie,76001000
2015-06-23,valle,cali (ct),martes,19:00:00,san vicente e2,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-06-23,valle,cali (ct),martes,16:56:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-24,valle,cali (ct),miercoles,09:00:00,ciudad 2000 e16,urbana,restaurantes,arma de fuego,a pie,a pie,76001000
2015-06-24,valle,cali (ct),miercoles,15:30:00,benjamin herrera e8,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-24,valle,cali (ct),miercoles,11:15:00,parcelaciones pance e22,urbana,tienda,arma blanca / cortopunzante,a pie,a pie,76001000
2015-06-25,valle,cali (ct),jueves,19:06:00,calima e4,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-26,valle,cali (ct),viernes,18:15:00,urbanizacion la flora e2,urbana,oficinas,contundentes,a pie,a pie,76001000
2015-06-26,valle,cali (ct),viernes,20:05:00,san pedro e3,urbana,vias publicas,arma de fuego,a pie,a pie,76001000
2015-06-27,valle,cali (ct),sabado,20:00:00,chipichape e2,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-06-27,valle,cali (ct),sabado,23:00:00,vipasa e2,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-06-27,valle,cali (ct),sabado,19:40:00,,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-27,valle,cali (ct),sabado,19:47:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-06-28,valle,cali (ct),domingo,00:00:00,union de vivienda popular e16,urbana,empresa,contundentes,conductor vehiculo,a pie,76001000
2015-06-28,valle,cali (ct),domingo,08:00:00,champagnat e19,urbana,escenarios deportivos,sin empleo de armas,a pie,a pie,76001000
2015-06-28,valle,cali (ct),domingo,13:00:00,ciudad cordoba e15,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-06-28,valle,cali (ct),domingo,18:55:00,san joaquin e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-06-29,valle,cali (ct),lunes,15:50:00,villa del sur e11,urbana,centro recreacional,arma de fuego,conductor motocicleta,a pie,76001000
2015-06-30,valle,cali (ct),martes,11:00:00,granada e2,urbana,"droguerias, farmacias",sin empleo de armas,a pie,a pie,76001000
2015-07-01,valle,cali (ct),miercoles,10:00:00,nueva floresta e12,urbana,interior vehiculo ponal,cortantes,a pie,a pie,76001000
2015-07-01,valle,cali (ct),miercoles,08:00:00,ciudad capri e17,urbana,hospitales,sin empleo de armas,a pie,a pie,76001000
2015-07-02,valle,cali (ct),jueves,17:00:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-07-02,valle,cali (ct),jueves,11:26:00,san joaquin e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-07-03,valle,cali (ct),viernes,08:00:00,san vicente e2,urbana,empresa,sin empleo de armas,a pie,a pie,76001000
2015-07-03,valle,cali (ct),viernes,14:00:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-07-04,valle,cali (ct),sabado,21:00:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-07-04,valle,cali (ct),sabado,03:15:00,vipasa e2,urbana,almacenes,contundentes,a pie,a pie,76001000
2015-07-04,valle,cali (ct),sabado,21:49:00,versalles e2,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-07-05,valle,cali (ct),domingo,02:00:00,charco azul e13,urbana,peluqueria y similares,contundentes,a pie,a pie,76001000
2015-07-06,valle,cali (ct),lunes,00:00:00,alto jordan e18,urbana,vias publicas,contundentes,a pie,a pie,76001000
2015-07-06,valle,cali (ct),lunes,00:00:00,vipasa e2,urbana,restaurantes,contundentes,a pie,a pie,76001000
2015-07-06,valle,cali (ct),lunes,09:45:00,parcelaciones pance e22,urbana,"colegios, escuelas",contundentes,a pie,a pie,76001000
2015-07-09,valle,cali (ct),jueves,00:05:00,ciudad campestre e22,urbana,conjunto residencial,sin empleo de armas,a pie,a pie,76001000
