fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2011-05-02,valle,cali (ct),lunes,07:30:00,marroquin i e14,urbana,vias publicas,contundentes,a pie,a pie,34,femenino,union libre,colombia,independiente,no reportado,superior,76001000
2011-05-02,valle,cali (ct),lunes,09:30:00,urbanizacion la merced e2,urbana,vias publicas,contundentes,a pie,a pie,39,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2011-05-02,valle,cali (ct),lunes,10:00:00,pizamos i e21,urbana,vias publicas,contundentes,a pie,a pie,25,femenino,union libre,no reportado,ama de casa,no reportado,secundaria,76001000
2011-05-02,valle,cali (ct),lunes,11:00:00,alfonso lopez i e7,urbana,vias publicas,arma blanca,a pie,a pie,34,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-05-02,valle,cali (ct),lunes,12:00:00,petecuy i e6,urbana,vias publicas,arma blanca,a pie,conductor motocicleta,29,masculino,soltero,colombia,empleado policial,policia,secundaria,76001000
2011-05-02,valle,cali (ct),lunes,12:30:00,el vergel e13,urbana,vias publicas,contundentes,a pie,a pie,17,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-05-02,valle,cali (ct),lunes,13:20:00,petecuy i e6,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-05-02,valle,cali (ct),lunes,18:30:00,tierra blanca e20,urbana,vias publicas,contundentes,a pie,a pie,49,femenino,viudo,colombia,independiente,no reportado,primaria,76001000
2011-05-02,valle,cali (ct),lunes,19:00:00,los conquistadores e11,urbana,vias publicas,contundentes,a pie,a pie,17,femenino,soltero,colombia,estudiante,no reportado,tecnico,76001000
2011-05-02,valle,cali (ct),lunes,19:00:00,melendez e18,urbana,vias publicas,contundentes,a pie,a pie,34,femenino,soltero,no reportado,independiente,no reportado,superior,76001000
2011-05-02,valle,cali (ct),lunes,19:30:00,chipichape e2,urbana,vias publicas,contundentes,a pie,a pie,49,masculino,union libre,colombia,comerciante,no reportado,tecnico,76001000
2011-05-02,valle,cali (ct),lunes,19:45:00,siloe e20,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,union libre,colombia,empleado policial,policia,secundaria,76001000
2011-05-02,valle,cali (ct),lunes,21:00:00,republica israel e16,urbana,vias publicas,contundentes,a pie,a pie,18,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,00:00:00,el trebol e8,urbana,vias publicas,contundentes,a pie,a pie,45,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,00:00:00,san fernando viejo e19,urbana,oficinas,contundentes,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,00:30:00,antonio narino e16,urbana,vias publicas,arma blanca,a pie,a pie,25,masculino,soltero,no reportado,independiente,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,10:00:00,san fernando nuevo e19,urbana,hospitales,contundentes,a pie,a pie,48,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-05-03,valle,cali (ct),martes,11:00:00,mojica ii e15,urbana,vias publicas,arma de fuego,a pie,a pie,26,masculino,union libre,colombia,desempleado,no reportado,primaria,76001000
2011-05-03,valle,cali (ct),martes,14:50:00,alto napoles e18,urbana,vias publicas,arma blanca,a pie,a pie,37,masculino,casado,colombia,empleado particular,no reportado,primaria,76001000
2011-05-03,valle,cali (ct),martes,17:00:00,los chorros e18,urbana,vias publicas,contundentes,a pie,a pie,83,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,18:30:00,laureano gomez e15,urbana,casas de habitacion,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,19:30:00,ciudadela floralia e6,urbana,vias publicas,arma de fuego,a pie,a pie,60,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,20:00:00,antonio narino e16,urbana,vias publicas,contundentes,a pie,a pie,19,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-05-03,valle,cali (ct),martes,21:30:00,los lagos e13,urbana,vias publicas,contundentes,a pie,a pie,52,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,00:00:00,vallado e15,urbana,,contundentes,a pie,a pie,69,masculino,union libre,colombia,independiente,no reportado,tecnico,76001000
2011-05-04,valle,cali (ct),miercoles,03:45:00,laureano gomez e15,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,08:30:00,laureano gomez e15,urbana,vias publicas,arma blanca,a pie,a pie,24,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,11:50:00,mojica ii e15,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,11:50:00,mojica ii e15,urbana,vias publicas,arma de fuego,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,13:00:00,porvenir e4,urbana,dentro de la vivienda,contundentes,a pie,a pie,28,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,13:00:00,san juan bosco e3,urbana,vias publicas,contundentes,a pie,a pie,15,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,13:30:00,calimio desepaz e21,urbana,vias publicas,contundentes,a pie,a pie,22,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-05-04,valle,cali (ct),miercoles,14:30:00,saavedra galindo e8,urbana,vias publicas,contundentes,a pie,a pie,48,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-05-04,valle,cali (ct),miercoles,14:30:00,santa barbara e5,urbana,vias publicas,contundentes,a pie,a pie,52,femenino,casado,colombia,pensionado,abogado,superior,76001000
2011-05-04,valle,cali (ct),miercoles,19:00:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-05-04,valle,cali (ct),miercoles,19:00:00,vallado e15,urbana,casas de habitacion,contundentes,a pie,a pie,14,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
