fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2010-01-26,valle,cali (ct),martes,11:20:00,los parques e5,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,37,femenino,soltero,colombia,ama de casa,no reportado,superior,76001000
2010-01-26,valle,cali (ct),martes,17:45:00,,urbana,casas de habitacion,contundentes,a pie,a pie,44,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,07:00:00,bretana e9,urbana,casas de habitacion,cortantes,a pie,a pie,68,femenino,viudo,colombia,independiente,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,08:00:00,tequendama e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,36,femenino,divorciado,colombia,independiente,no reportado,secundaria,76001000
2010-01-27,valle,cali (ct),miercoles,08:30:00,los naranjos i e14,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,24,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2010-01-27,valle,cali (ct),miercoles,09:30:00,departamental e10,urbana,casas de habitacion,cortantes,a pie,a pie,25,masculino,union libre,colombia,empleado particular,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,12:30:00,el ingenio e17,urbana,casas de habitacion,arma de fuego,a pie,a pie,46,femenino,casado,colombia,empleado particular,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,12:40:00,,rural,dentro de la vivienda,arma de fuego,a pie,a pie,45,femenino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-27,valle,cali (ct),miercoles,13:00:00,tejares de salomia e6,urbana,dentro de la vivienda,cortantes,a pie,a pie,48,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,13:30:00,,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,28,femenino,union libre,colombia,desempleado,no reportado,secundaria,76001000
2010-01-27,valle,cali (ct),miercoles,14:30:00,alirio mora beltran e14,urbana,casas de habitacion,arma de fuego,a pie,a pie,49,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
2010-01-27,valle,cali (ct),miercoles,17:00:00,el lido e19,urbana,casas de habitacion,arma de fuego,a pie,a pie,54,masculino,union libre,colombia,independiente,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,17:00:00,el lido e19,urbana,casas de habitacion,cortantes,a pie,a pie,35,masculino,casado,colombia,independiente,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,17:45:00,el lido e19,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,46,masculino,casado,no reportado,independiente,no reportado,superior,76001000
2010-01-27,valle,cali (ct),miercoles,20:00:00,palermo e1,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,45,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-28,valle,cali (ct),jueves,00:00:00,granada e2,urbana,casas de habitacion,cortantes,a pie,a pie,27,femenino,divorciado,colombia,independiente,no reportado,superior,76001000
2010-01-28,valle,cali (ct),jueves,08:00:00,el jardin e11,urbana,casas de habitacion,contundentes,a pie,a pie,50,masculino,union libre,colombia,independiente,no reportado,superior,76001000
2010-01-28,valle,cali (ct),jueves,15:00:00,san judas tadeo i e10,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,71,masculino,casado,colombia,pensionado,no reportado,primaria,76001000
2010-01-28,valle,cali (ct),jueves,15:45:00,caney e17,urbana,casas de habitacion,cortantes,a pie,a pie,66,masculino,casado,colombia,independiente,no reportado,superior,76001000
2010-01-28,valle,cali (ct),jueves,20:00:00,caney e17,urbana,casas de habitacion,cortantes,a pie,a pie,38,masculino,casado,colombia,independiente,no reportado,superior,76001000
2010-01-28,valle,cali (ct),jueves,20:30:00,pance e22,urbana,casas de habitacion,contundentes,a pie,a pie,49,masculino,casado,no reportado,empleado particular,medico,superior,76001000
2010-01-29,valle,cali (ct),viernes,18:30:00,los alcazares e6,urbana,casas de habitacion,arma de fuego,a pie,a pie,31,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2010-01-29,valle,cali (ct),viernes,20:00:00,champagnat e19,urbana,casas de habitacion,contundentes,a pie,a pie,71,masculino,casado,colombia,empleado particular,no reportado,superior,76001000
2010-01-29,valle,cali (ct),viernes,20:00:00,mariano ramos e16,urbana,casas de habitacion,contundentes,a pie,a pie,65,femenino,casado,colombia,ama de casa,no reportado,primaria,76001000
2010-01-29,valle,cali (ct),viernes,21:55:00,las quintas de don simon e17,urbana,dentro de la vivienda,contundentes,a pie,a pie,51,masculino,separado,no reportado,empleado particular,no reportado,superior,76001000
2010-01-29,valle,cali (ct),viernes,22:00:00,champagnat e19,urbana,dentro de la vivienda,contundentes,a pie,a pie,71,masculino,casado,no reportado,empleado particular,no reportado,secundaria,76001000
2010-01-30,valle,cali (ct),sabado,03:30:00,san antonio e3,urbana,apartamento,contundentes,a pie,a pie,49,femenino,soltero,colombia,empleado particular,no reportado,superior,76001000
2010-01-30,valle,cali (ct),sabado,12:30:00,melendez e18,urbana,casas de habitacion,cortantes,a pie,a pie,49,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
2010-01-30,valle,cali (ct),sabado,13:00:00,julio rincon e12,urbana,casas de habitacion,cortantes,a pie,a pie,52,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2010-01-30,valle,cali (ct),sabado,20:00:00,el ingenio e17,urbana,casas de habitacion,arma de fuego,a pie,a pie,51,femenino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-30,valle,cali (ct),sabado,23:00:00,ciudadela confandi e17,urbana,casas de habitacion,cortantes,a pie,a pie,23,femenino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2010-01-30,valle,cali (ct),sabado,23:00:00,la hacienda e17,urbana,casas de habitacion,contundentes,a pie,a pie,38,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
